pin,slack
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:IPC,47373
NeuroMini_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:A,
NeuroMini_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:B,
NeuroMini_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:C,
NeuroMini_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:IPA,
NeuroMini_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:IPB,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:CLK,39093
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:D,45928
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:EN,40347
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:Q,39093
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:CLK,45016
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:D,42767
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:EN,39985
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:Q,45016
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:SD,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:SLn,
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_am[12]:A,39727
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_am[12]:B,42778
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_am[12]:C,38352
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_am[12]:D,38261
cmam_if_wrap_0/cmam_if/nif/data_rd_1_i_m2_am[12]:Y,38261
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:A,46309
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:B,45102
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:C,46322
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:Y,45102
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:CLK,47301
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:D,45102
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:EN,41926
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:Q,47301
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:A,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:B,46231
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:C,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:CC,45422
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:D,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:P,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:S,45422
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:UB,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:B,47269
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:C,47450
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:IPB,47269
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:IPC,47450
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:CLK,41634
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:D,46090
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:EN,40400
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:Q,41634
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:SLn,
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:A,14997
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:B,14907
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:C,15031
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:CC,
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:D,14867
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:P,
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:UB,
cmam_if_wrap_0/cmam_if/nif/cmd_inst/c2a_data_iv_0_m2_1_0_0_wmux:Y,14867
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:CLK,47287
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:D,46040
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:EN,41926
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:Q,47287
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:A,40607
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:B,41771
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:C,38520
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:D,40271
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:Y,38520
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[0],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[10],47425
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[11],47427
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[12],47452
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[13],47446
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[1],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[2],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[3],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[4],47139
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[5],47263
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[6],47237
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[7],47478
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[8],47510
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[9],47489
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ARST_N,
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_BLK[0],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_BLK[1],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_BLK[2],41745
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_CLK,38655
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[0],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[10],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[11],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[12],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[13],
